Date;Open;High;Low;Close;Volume
2026.01.15 07:00;96284.35;96487.05;96211.05;96405.65;1293
2026.01.15 08:00;96401.05;96554.95;96144.25;96217.05;1362
2026.01.15 09:00;96217.05;96734.25;96167.05;96610.55;1305
2026.01.15 10:00;96610.55;96644.55;96267.45;96617.95;1241
2026.01.15 11:00;96615.75;97174.95;96537.05;97020.95;1464
2026.01.15 12:00;97020.95;97044.85;96727.05;96793.05;883
2026.01.15 13:00;96793.05;96912.55;96563.05;96563.05;815
2026.01.15 14:00;96560.75;96976.95;96495.05;96953.05;1050
2026.01.15 15:00;96951.05;97008.85;96587.05;96827.75;1527
2026.01.15 16:00;96830.25;97126.65;95565.25;96033.25;5134
2026.01.15 17:00;96031.05;96754.85;95403.05;96745.05;6370
2026.01.15 18:00;96719.05;96926.35;96242.05;96693.05;4646
2026.01.15 19:00;96692.05;97051.30;96382.05;96592.55;2849
2026.01.15 20:00;96592.05;96602.95;95711.35;95806.55;2753
2026.01.15 21:00;95802.80;95893.45;95156.55;95485.45;3331
2026.01.15 22:00;95483.30;95631.95;95100.05;95222.95;2336
2026.01.15 23:00;95224.85;95592.95;95165.05;95551.45;913
2026.01.16 00:00;95551.45;95833.95;95452.05;95548.95;1298
2026.01.16 01:00;95545.05;95692.65;95370.05;95574.65;981
2026.01.16 02:00;95579.95;95805.95;95548.05;95604.95;989
2026.01.16 03:00;95604.95;95825.95;95393.85;95638.75;973
2026.01.16 04:00;95636.05;95665.05;95367.75;95480.65;1083
2026.01.16 05:00;95481.15;95559.95;95300.05;95319.05;617
2026.01.16 06:00;95318.35;95558.15;95115.15;95239.05;948
2026.01.16 07:00;95236.05;95664.75;95220.05;95641.05;1263
2026.01.16 08:00;95645.05;95801.95;95517.55;95721.65;774
2026.01.16 09:00;95721.65;95765.95;95465.55;95633.05;634
2026.01.16 10:00;95634.90;95830.75;95558.15;95648.05;872
2026.01.16 11:00;95646.05;95760.85;95565.05;95583.45;624
2026.01.16 12:00;95584.95;95608.55;95278.05;95294.35;694
2026.01.16 13:00;95294.35;95447.25;95237.35;95401.95;664
2026.01.16 14:00;95400.05;95553.95;95329.05;95428.15;734
2026.01.16 15:00;95428.15;95554.45;95267.05;95423.45;1027
2026.01.16 16:00;95425.05;95794.35;95164.05;95168.45;3643
2026.01.16 17:00;95166.10;95646.95;94266.35;94558.05;6306
2026.01.16 18:00;94562.05;94968.95;94481.05;94852.05;3147
2026.01.16 19:00;94846.55;95116.05;94541.45;95064.85;1914
2026.01.16 20:00;95087.95;95205.55;94956.05;94986.05;1537
2026.01.16 21:00;94986.05;95040.95;94814.05;94981.05;1334
2026.01.16 22:00;94981.05;95543.35;94657.05;95539.95;1391
2026.01.16 23:00;95544.45;95583.55;95336.35;95501.95;967
2026.01.17 00:00;95542.85;95564.25;95235.05;95492.95;862
2026.01.17 01:00;95492.95;95558.95;95406.85;95525.55;497
2026.01.17 02:00;95525.55;95559.25;95415.95;95442.95;525
2026.01.17 03:00;95441.05;95509.95;95363.35;95376.05;359
2026.01.17 04:00;95376.05;95396.95;95183.35;95340.05;424
2026.01.17 05:00;95340.05;95368.95;95246.45;95343.05;291
2026.01.17 06:00;95343.05;95344.65;95237.25;95282.95;275
2026.01.17 07:00;95286.95;95358.05;95255.95;95295.45;225
2026.01.17 08:00;95295.45;95323.95;95175.05;95210.75;290
2026.01.17 09:00;95210.75;95210.75;95018.85;95075.05;414
2026.01.17 10:00;95074.55;95233.45;94997.65;95222.15;201
2026.01.17 11:00;95222.60;95265.95;95149.05;95237.05;266
2026.01.17 12:00;95237.05;95251.25;95091.45;95092.05;276
2026.01.17 13:00;95092.05;95293.25;95046.05;95293.25;331
2026.01.17 14:00;95293.25;95376.85;95209.85;95229.95;322
2026.01.17 15:00;95229.95;95414.95;95171.55;95414.95;435
2026.01.17 16:00;95413.95;95512.95;95325.05;95452.95;570
2026.01.17 17:00;95452.20;95620.75;95401.85;95552.95;839
2026.01.17 18:00;95552.95;95552.95;95197.05;95285.85;843
2026.01.17 19:00;95285.05;95417.95;95260.65;95338.85;449
2026.01.17 20:00;95343.35;95444.05;95317.05;95404.75;279
2026.01.17 21:00;95404.75;95404.75;95254.05;95266.35;188
2026.01.17 22:00;95266.35;95356.95;95257.75;95351.05;188
2026.01.17 23:00;95351.05;95383.95;95252.65;95278.85;254
2026.01.18 00:00;95278.85;95278.85;95012.75;95143.75;589
2026.01.18 01:00;95141.25;95191.95;95090.75;95118.95;455
2026.01.18 02:00;95115.15;95212.95;95042.05;95088.15;453
2026.01.18 03:00;95088.15;95088.15;94843.05;94939.95;706
2026.01.18 04:00;94939.95;95036.95;94847.05;95007.95;480
2026.01.18 05:00;95007.95;95185.75;95001.05;95175.35;336
2026.01.18 06:00;95175.35;95175.35;95050.35;95068.95;298
2026.01.18 07:00;95068.95;95234.95;95034.05;95165.05;361
2026.01.18 08:00;95165.05;95188.25;95116.85;95152.25;237
2026.01.18 09:00;95152.25;95164.95;95000.15;95013.05;314
2026.01.18 10:00;95013.05;95175.35;94996.75;95161.45;308
2026.01.18 11:00;95161.45;95263.65;95128.45;95245.05;329
2026.01.18 12:00;95245.05;95277.35;95058.55;95147.95;351
2026.01.18 13:00;95147.95;95166.95;95047.25;95151.75;243
2026.01.18 14:00;95152.55;95161.45;95055.05;95085.05;249
2026.01.18 15:00;95085.05;95179.95;94885.05;95126.85;570
2026.01.18 16:00;95126.85;95334.25;94902.25;94933.65;740
2026.01.18 17:00;94930.35;95090.75;94888.45;95086.15;551
2026.01.18 18:00;95086.15;95161.45;95040.15;95132.55;511
2026.01.18 19:00;95132.55;95246.45;95108.85;95235.35;394
2026.01.18 20:00;95235.35;95488.95;95145.05;95415.75;745
2026.01.18 21:00;95415.95;95490.95;95298.45;95350.55;597
2026.01.18 22:00;95347.05;95411.95;95257.05;95274.95;478
2026.01.18 23:00;95279.65;95407.25;95254.65;95400.65;358
2026.01.19 00:00;95400.65;95500.95;95378.25;95454.05;426
2026.01.19 01:00;95452.45;95466.95;93581.05;93635.55;4678
2026.01.19 02:00;93634.95;93634.95;91864.75;92679.25;8286
2026.01.19 03:00;92673.05;92848.75;92209.85;92549.95;2886
2026.01.19 04:00;92555.55;92645.85;92347.35;92535.05;1390
2026.01.19 05:00;92543.15;92757.55;92459.65;92664.25;938
2026.01.19 06:00;92661.05;92722.55;92460.35;92632.15;833
2026.01.19 07:00;92632.15;92789.15;92473.05;92486.25;873
2026.01.19 08:00;92490.35;92610.55;92355.85;92561.05;932
2026.01.19 09:00;92566.65;92843.75;92532.45;92818.25;716
2026.01.19 10:00;92831.50;93347.95;92675.05;93230.25;1732
2026.01.19 11:00;93234.05;93242.15;92915.25;93025.05;1359
2026.01.19 12:00;93025.05;93060.15;92862.65;93041.25;739
2026.01.19 13:00;93044.65;93292.25;92946.15;93163.15;819
2026.01.19 14:00;93163.15;93205.95;92981.85;93045.95;971
2026.01.19 15:00;93045.95;93126.85;92771.75;93009.05;979
2026.01.19 16:00;93011.55;93016.25;92679.55;92787.15;1381
2026.01.19 17:00;92787.15;93055.15;92787.15;93033.15;1137
2026.01.19 18:00;93033.15;93391.25;92967.55;93276.35;1125
2026.01.19 19:00;93276.35;93366.95;93122.65;93208.05;924
2026.01.19 20:00;93213.45;93239.75;92906.25;93037.35;791
2026.01.19 21:00;93037.35;93133.75;92968.25;93084.25;647
2026.01.19 22:00;93084.25;93255.55;93069.85;93116.25;576
2026.01.19 23:00;93118.05;93321.45;92975.05;92977.75;580
2026.01.20 00:00;92977.75;93046.55;92539.15;92543.25;989
2026.01.20 01:00;92544.05;92727.45;92128.65;92606.45;2559
2026.01.20 02:00;92605.75;92843.75;92343.75;92691.85;1836
2026.01.20 03:00;92689.75;92846.95;92500.05;92690.65;1614
2026.01.20 04:00;92692.95;92700.75;92338.55;92535.15;1461
2026.01.20 05:00;92536.05;92627.65;92235.85;92416.15;1188
2026.01.20 06:00;92409.95;92458.25;91980.65;92047.05;1210
2026.01.20 07:00;92047.25;92060.75;91262.05;91608.65;3195
2026.01.20 08:00;91602.75;91618.55;90752.05;90908.15;3522
2026.01.20 09:00;90905.05;91277.95;90832.55;91151.15;1992
2026.01.20 10:00;91161.15;91227.35;90652.15;91085.95;2728
2026.01.20 11:00;91082.05;91082.05;90871.35;91011.15;1542
2026.01.20 12:00;91011.15;91268.95;90971.05;91234.05;1042
2026.01.20 13:00;91233.80;91415.05;91191.05;91197.55;794
2026.01.20 14:00;91200.55;91294.25;91026.55;91249.25;968
2026.01.20 15:00;91249.25;91260.95;90747.15;90933.95;1900
2026.01.20 16:00;90933.85;91348.85;90233.45;90507.55;5668
2026.01.20 17:00;90503.35;90786.45;89828.05;90664.65;5938
2026.01.20 18:00;90664.05;90946.95;89989.55;90130.05;3160
2026.01.20 19:00;90126.65;90474.75;89418.35;89754.85;3997
2026.01.20 20:00;89750.05;89941.55;89375.05;89466.55;2911
2026.01.20 21:00;89467.15;89772.45;89262.35;89698.75;2994
2026.01.20 22:00;89696.85;89830.45;89363.85;89716.05;2942
2026.01.20 23:00;89717.95;89814.95;89398.05;89450.05;1244
2026.01.21 00:00;89449.55;89614.05;87828.05;88474.75;3125
2026.01.21 01:00;88471.75;88496.55;87858.75;88398.25;3101
2026.01.21 02:00;88401.80;88950.75;88225.05;88900.85;2391
2026.01.21 03:00;88900.85;89138.05;88818.95;88995.05;1758
2026.01.21 04:00;88998.75;89328.15;88975.05;89024.35;1512
2026.01.21 05:00;89024.35;89574.65;89011.75;89401.25;1190
2026.01.21 06:00;89401.25;89601.65;89310.45;89421.55;800
2026.01.21 07:00;89422.55;90091.15;89407.85;89928.35;1125
2026.01.21 08:00;89925.35;89925.35;89472.75;89625.25;991
2026.01.21 09:00;89625.25;89737.75;89067.05;89194.45;1284
2026.01.21 10:00;89191.35;89358.35;88975.05;89174.15;1364
2026.01.21 11:00;89170.55;89474.95;89049.05;89086.95;1123
2026.01.21 12:00;89086.95;89370.95;89047.05;89214.45;882
2026.01.21 13:00;89214.45;89356.95;88673.45;88771.05;1125
2026.01.21 14:00;88769.05;88831.25;88178.25;88710.55;3430
2026.01.21 15:00;88710.55;89005.25;88541.45;88647.85;2228
2026.01.21 16:00;88640.05;89978.95;88583.75;89780.15;7932
2026.01.21 17:00;89773.20;90545.45;89737.05;90258.85;5430
2026.01.21 18:00;90262.75;90338.95;87546.35;87563.75;6403
2026.01.21 19:00;87565.55;88132.35;87230.15;87895.95;7800
2026.01.21 20:00;87895.95;88633.55;87554.75;88451.95;4421
2026.01.21 21:00;88454.65;90441.25;88258.25;90337.95;7049
2026.01.21 22:00;90328.95;90359.65;89437.05;90189.65;4840
2026.01.21 23:00;90192.55;90322.95;89936.55;90223.95;1587
2026.01.22 00:00;90219.35;90367.45;89745.05;89745.55;1384
2026.01.22 01:00;89751.30;90190.05;89333.05;89427.05;1808
2026.01.22 02:00;89427.95;90000.45;89427.95;89882.95;1639
2026.01.22 03:00;89882.95;90166.95;89793.05;90082.95;1768
2026.01.22 04:00;90079.05;90338.15;89823.05;89915.25;1579
2026.01.22 05:00;89921.45;90140.95;89675.05;89868.95;1028
2026.01.22 06:00;89864.65;90054.95;89795.85;89974.95;909
2026.01.22 07:00;89974.95;90050.55;89899.05;89998.75;702
2026.01.22 08:00;89998.75;90189.35;89867.35;90143.15;1004
2026.01.22 09:00;90143.15;90170.75;89768.45;89791.05;863
2026.01.22 10:00;89791.05;89944.95;89729.05;89889.95;994
2026.01.22 11:00;89886.35;90095.45;89855.75;90006.95;716
2026.01.22 12:00;90006.95;90078.45;89930.55;90051.95;806
2026.01.22 13:00;90050.75;90128.25;89871.05;89915.05;1061
2026.01.22 14:00;89915.05;90068.95;89849.05;89992.45;800
2026.01.22 15:00;89992.45;90310.95;89457.05;89587.05;2086
2026.01.22 16:00;89583.05;89706.95;89019.35;89064.05;4746
2026.01.22 17:00;89059.15;89424.95;88488.05;88973.05;6278
2026.01.22 18:00;88976.85;89243.05;88645.05;89020.65;4316
2026.01.22 19:00;89017.35;89598.55;88987.05;89525.05;3302
2026.01.22 20:00;89523.75;89769.05;89279.05;89310.55;2491
2026.01.22 21:00;89314.95;89896.95;89084.35;89749.45;2264
2026.01.22 22:00;89747.05;89922.95;89371.05;89390.95;1947
2026.01.22 23:00;89407.95;89652.85;89225.05;89241.05;1072
2026.01.23 00:00;89241.05;89542.95;89136.05;89325.45;961
2026.01.23 01:00;89325.05;89564.05;89143.05;89532.95;1022
2026.01.23 02:00;89532.95;89614.95;89425.05;89504.05;824
2026.01.23 03:00;89508.15;89919.45;89508.15;89912.95;930
2026.01.23 04:00;89912.45;89957.25;89628.25;89631.05;830
2026.01.23 05:00;89629.05;89901.15;89618.25;89901.15;615
2026.01.23 06:00;89901.15;90062.95;89850.15;89941.85;652
2026.01.23 07:00;89941.85;89946.05;89457.05;89587.05;929
2026.01.23 08:00;89587.05;89770.35;89367.65;89489.95;1235
2026.01.23 09:00;89491.75;89663.85;89425.05;89515.05;1066
2026.01.23 10:00;89511.15;89602.95;89107.85;89191.05;1521
2026.01.23 11:00;89189.05;89353.95;88873.05;88950.95;1436
2026.01.23 12:00;88954.95;89130.85;88831.45;89024.55;1024
2026.01.23 13:00;89024.55;89326.95;88971.75;89185.25;886
2026.01.23 14:00;89185.25;89352.95;89069.55;89232.55;646
2026.01.23 15:00;89232.55;89419.55;89207.05;89324.95;894
2026.01.23 16:00;89324.95;89696.95;88629.05;88986.95;4193
2026.01.23 17:00;88993.95;89834.95;88534.25;89722.95;5059
2026.01.23 18:00;89716.05;90466.95;89459.25;90103.05;4231
2026.01.23 19:00;90102.05;91203.15;89956.55;90584.95;3656
2026.01.23 20:00;90585.85;91004.95;90441.05;90501.85;2692
2026.01.23 21:00;90497.65;90513.95;89590.25;89958.95;3274
2026.01.23 22:00;89958.95;90136.95;89189.55;89477.85;3207
2026.01.23 23:00;89473.05;89665.95;89290.45;89324.95;1173
2026.01.24 00:00;89324.15;89732.95;89311.95;89602.95;877
2026.01.24 01:00;89596.65;89604.95;89445.05;89575.85;573
2026.01.24 02:00;89575.85;89611.65;89394.95;89425.95;534
2026.01.24 03:00;89425.05;89562.95;89424.65;89522.95;421
2026.01.24 04:00;89523.25;89692.95;89523.25;89681.55;377
2026.01.24 05:00;89681.55;89911.35;89649.05;89747.75;570
2026.01.24 06:00;89747.75;89822.85;89692.05;89813.25;299
2026.01.24 07:00;89813.25;89826.35;89722.85;89754.95;233
2026.01.24 08:00;89756.45;89759.75;89618.25;89624.65;218
2026.01.24 09:00;89623.25;89673.65;89551.65;89594.85;228
2026.01.24 10:00;89594.85;89672.65;89583.75;89649.85;117
2026.01.24 11:00;89649.85;89649.85;89565.05;89577.55;168
2026.01.24 12:00;89577.55;89630.95;89556.05;89592.85;157
2026.01.24 13:00;89592.85;89644.95;89567.05;89567.05;141
2026.01.24 14:00;89567.05;89567.05;89467.65;89512.75;211
2026.01.24 15:00;89512.75;89517.45;89341.05;89341.05;131
2026.01.24 16:00;89343.85;89485.75;89148.45;89427.75;622
2026.01.24 17:00;89427.75;89466.95;89241.65;89256.85;437
2026.01.24 18:00;89261.35;89347.35;89141.55;89264.85;522
2026.01.24 19:00;89264.85;89393.75;89226.75;89374.95;317
2026.01.24 20:00;89374.95;89442.25;89349.05;89366.55;186
2026.01.24 21:00;89366.55;89369.55;89258.65;89316.75;247
2026.01.24 22:00;89316.75;89385.05;89316.75;89365.15;165
2026.01.24 23:00;89365.15;89367.95;89254.15;89366.05;257
2026.01.25 00:00;89366.05;89470.95;89270.30;89410.95;267
2026.01.25 01:00;89410.95;89458.95;89189.45;89202.75;410
2026.01.25 02:00;89202.75;89286.95;89157.05;89286.95;336
2026.01.25 03:00;89287.95;89292.05;89075.05;89159.05;383
2026.01.25 04:00;89157.85;89243.55;89120.35;89121.05;270
2026.01.25 05:00;89121.05;89162.95;88821.95;88935.65;664
2026.01.25 06:00;88935.65;89076.95;88907.15;88992.15;360
2026.01.25 07:00;88992.45;89032.95;88851.05;88972.75;305
2026.01.25 08:00;88972.75;88972.75;88640.15;88825.15;739
2026.01.25 09:00;88825.15;88825.15;88613.45;88640.95;397
2026.01.25 10:00;88640.95;88735.85;88109.05;88281.05;1185
2026.01.25 11:00;88277.05;88472.55;88215.45;88382.65;797
2026.01.25 12:00;88382.65;88656.55;88382.65;88636.25;730
2026.01.25 13:00;88634.65;88682.95;88513.75;88546.45;557
2026.01.25 14:00;88545.85;88784.95;88421.05;88776.95;918
2026.01.25 15:00;88776.95;88948.95;88627.05;88893.05;729
2026.01.25 16:00;88893.05;88916.95;88601.15;88683.05;1022
2026.01.25 17:00;88683.05;88735.85;88355.05;88430.05;775
2026.01.25 18:00;88427.05;88432.95;87533.05;88062.95;4757
2026.01.25 19:00;88060.05;88087.25;87736.15;87860.15;1727
2026.01.25 20:00;87858.95;87966.95;86795.35;87395.05;4425
2026.01.25 21:00;87400.60;87486.35;86160.75;86468.65;4376
2026.01.25 22:00;86470.15;86693.75;86204.95;86642.25;2396
2026.01.25 23:00;86641.35;86982.95;86370.85;86549.05;1958
2026.01.26 00:00;86551.05;86654.35;86197.15;86501.85;2065
2026.01.26 01:00;86502.35;86769.35;86056.05;86640.65;3505
2026.01.26 02:00;86640.65;87155.05;86480.05;86821.25;2430
2026.01.26 03:00;86822.35;87794.95;86785.95;87670.75;3311
2026.01.26 04:00;87673.85;87940.95;87419.05;87528.15;2115
2026.01.26 05:00;87528.15;87652.95;87063.65;87256.95;1297
2026.01.26 06:00;87256.95;87924.75;87218.05;87719.75;1450
2026.01.26 07:00;87719.75;87934.25;87645.25;87795.95;1022
2026.01.26 08:00;87798.00;88004.75;87739.95;87923.85;1116
2026.01.26 09:00;87923.85;88060.95;87683.25;87982.65;1394
2026.01.26 10:00;87984.95;88367.35;87822.05;87961.55;1577
2026.01.26 11:00;87961.55;87981.65;87577.55;87642.05;1372
2026.01.26 12:00;87642.05;87937.05;87631.65;87874.25;806
2026.01.26 13:00;87877.45;87963.65;87741.55;87830.85;590
2026.01.26 14:00;87832.35;87944.65;87713.05;87775.25;768
2026.01.26 15:00;87775.25;88022.35;87678.65;87935.95;1129
2026.01.26 16:00;87935.95;88502.45;87422.05;88153.95;4529
2026.01.26 17:00;88152.45;88839.45;87297.75;87618.55;6056
2026.01.26 18:00;87617.55;87928.85;87176.05;87588.35;4786
2026.01.26 19:00;87592.15;87762.95;87006.70;87673.15;2985
2026.01.26 20:00;87663.85;88388.95;87623.65;88380.35;2815
2026.01.26 21:00;88380.70;88521.45;87929.25;87986.55;2124
2026.01.26 22:00;87981.45;88100.85;87511.05;87602.95;1821
2026.01.26 23:00;87604.85;88216.95;87546.55;88034.35;1729
2026.01.27 00:00;88035.55;88248.95;87975.05;88111.85;1400
2026.01.27 01:00;88111.85;88634.05;87992.45;88320.15;1326
2026.01.27 02:00;88320.15;88430.35;88186.05;88331.05;1055
2026.01.27 03:00;88328.35;88678.95;88181.05;88538.25;1255
2026.01.27 04:00;88538.25;88831.45;88527.05;88795.55;1411
2026.01.27 05:00;88791.05;88868.75;88553.05;88757.65;1293
2026.01.27 06:00;88754.75;88974.85;88488.25;88551.35;1279
2026.01.27 07:00;88551.35;88565.05;88376.65;88437.95;743
2026.01.27 08:00;88437.95;88500.15;88247.45;88304.85;728
2026.01.27 09:00;88305.35;88528.65;88285.35;88298.05;753
2026.01.27 10:00;88298.05;88377.75;88093.05;88145.85;975
2026.01.27 11:00;88142.25;88142.25;87836.45;87861.75;1062
2026.01.27 12:00;87861.75;88024.25;87725.35;87759.35;768
2026.01.27 13:00;87761.45;88068.05;87717.05;87958.45;992
2026.01.27 14:00;87956.25;88129.75;87923.55;87955.05;740
2026.01.27 15:00;87955.95;88040.35;87773.25;87955.25;1065
2026.01.27 16:00;87955.25;88433.55;87629.25;87711.05;4208
2026.01.27 17:00;87711.85;88163.45;87539.85;88004.85;4410
2026.01.27 18:00;88003.35;88790.75;87967.15;88611.85;4468
2026.01.27 19:00;88610.85;88667.95;87275.05;87515.35;4713
2026.01.27 20:00;87517.25;88485.05;87419.55;88256.75;3511
2026.01.27 21:00;88258.75;88527.95;88025.55;88381.75;2404
2026.01.27 22:00;88380.95;89473.95;88349.05;89384.95;3760
2026.01.27 23:00;89379.05;89506.95;88981.25;89053.35;2144
2026.01.28 00:00;89053.35;89403.95;88995.05;89222.05;1637
2026.01.28 01:00;89225.05;89494.95;89117.15;89222.25;1258
2026.01.28 02:00;89224.95;89449.35;89125.05;89444.35;1246
2026.01.28 03:00;89444.25;89476.95;89171.35;89377.55;1454
2026.01.28 04:00;89377.35;89419.85;89074.35;89265.15;1567
2026.01.28 05:00;89265.15;89287.85;88961.95;89096.65;1436
2026.01.28 06:00;89094.90;89135.75;88819.05;88958.45;1214
2026.01.28 07:00;88958.95;89074.95;88830.15;89059.05;1078
2026.01.28 08:00;89076.00;89377.45;89076.00;89299.45;1368
2026.01.28 09:00;89299.45;89333.95;89087.05;89121.15;1057
2026.01.28 10:00;89120.75;89234.95;88863.65;88905.15;1317
2026.01.28 11:00;88905.95;89550.95;88837.05;89544.05;1479
2026.01.28 12:00;89541.05;89676.75;89313.95;89387.25;1666
2026.01.28 13:00;89389.05;90132.75;89293.05;90053.25;1698
2026.01.28 14:00;90046.85;90145.55;89765.05;89980.55;1942
2026.01.28 15:00;89980.55;90459.55;89944.85;90241.95;2339
2026.01.28 16:00;90241.95;90241.95;89421.65;89591.95;4108
2026.01.28 17:00;89590.95;89825.95;88869.05;89454.25;4316
2026.01.28 18:00;89461.05;89800.85;89217.05;89606.75;3118
2026.01.28 19:00;89608.85;90586.15;89259.05;90147.05;2889
2026.01.28 20:00;90147.05;90154.05;89311.70;89518.45;2721
2026.01.28 21:00;89514.35;89693.95;88976.45;89373.05;6386
2026.01.28 22:00;89372.35;89878.95;88976.45;89104.65;3056
2026.01.28 23:00;89137.45;89461.95;88843.05;89385.95;2119
2026.01.29 00:00;89386.95;89451.95;89110.15;89355.95;826
2026.01.29 01:00;89355.95;89449.95;89177.35;89276.05;1427
2026.01.29 02:00;89272.55;89324.95;88869.25;89119.95;1862
2026.01.29 03:00;89121.75;89135.95;88514.75;88571.35;2228
2026.01.29 04:00;88579.85;88723.95;87672.35;87875.85;3256
2026.01.29 05:00;87878.75;88238.65;87745.05;88027.75;2186
2026.01.29 06:00;88027.75;88320.45;87875.05;88288.75;1138
2026.01.29 07:00;88285.40;88393.95;88115.25;88161.05;932
2026.01.29 08:00;88161.05;88309.85;88142.55;88288.95;770
2026.01.29 09:00;88288.95;88401.95;88222.75;88324.95;682
2026.01.29 10:00;88324.95;88473.45;87883.05;88030.45;1302
2026.01.29 11:00;88030.45;88126.45;87859.15;87859.55;835
2026.01.29 12:00;87859.55;87978.25;87795.05;87924.75;747
2026.01.29 13:00;87924.75;88034.45;87720.05;87805.45;1032
2026.01.29 14:00;87805.45;88094.85;87789.45;88083.45;863
2026.01.29 15:00;88083.05;88133.35;87919.45;88015.65;677
2026.01.29 16:00;88016.55;88046.95;86975.05;86978.75;3158
2026.01.29 17:00;86981.05;87006.55;84333.25;84905.75;10079
2026.01.29 18:00;84901.55;85362.45;84240.85;85241.45;6348
2026.01.29 19:00;85246.65;85610.35;83992.85;84230.95;4469
2026.01.29 20:00;84234.95;84601.95;83387.35;83444.35;5967
2026.01.29 21:00;83448.35;84268.25;83342.65;83981.15;3768
2026.01.29 22:00;83981.95;84374.75;83795.05;84179.05;2396
2026.01.29 23:00;84185.75;84632.75;84173.05;84500.05;1959
2026.01.30 00:00;84502.55;84587.25;84282.15;84538.95;876
2026.01.30 01:00;84535.25;84707.75;84413.15;84624.65;1425
2026.01.30 02:00;84621.05;84708.95;84137.05;84165.15;1336
2026.01.30 03:00;84164.75;84164.75;81075.05;82446.95;7594
2026.01.30 04:00;82450.15;82510.95;81126.75;82134.95;7637
2026.01.30 05:00;82141.35;82710.45;82015.05;82651.25;2651
2026.01.30 06:00;82651.85;83308.35;82651.25;82911.65;2036
2026.01.30 07:00;82911.55;83302.65;82862.75;82879.15;1446
2026.01.30 08:00;82877.55;82891.35;82029.15;82567.75;2623
2026.01.30 09:00;82571.25;83068.05;82441.65;82778.65;2659
2026.01.30 10:00;82778.05;82951.45;82408.85;82641.05;2486
2026.01.30 11:00;82642.60;82811.05;82128.85;82332.45;2979
2026.01.30 12:00;82328.55;82866.35;82146.35;82801.85;2542
2026.01.30 13:00;82804.95;83282.95;82659.05;83128.25;2032
2026.01.30 14:00;83128.25;83304.15;82621.75;82768.75;2138
2026.01.30 15:00;82768.75;83060.95;82382.75;82719.95;3321
2026.01.30 16:00;82716.75;83774.95;82711.85;83076.95;6328
